type,datetime,throughput,exectime
write,"Thu, 11 Feb 2016 20:28:44 GMT",2.2292016875799843,574.245
read,"Thu, 11 Feb 2016 20:32:09 GMT",7.35933550106649,199.267
write,"Thu, 11 Feb 2016 20:41:01 GMT",2.3509762673843673,526.654
read,"Thu, 11 Feb 2016 20:44:08 GMT",8.467089833000765,183.343
write,"Thu, 11 Feb 2016 20:54:00 GMT",2.260196878216072,586.965
read,"Thu, 11 Feb 2016 20:57:13 GMT",8.472378897492865,184.427
write,"Thu, 11 Feb 2016 21:07:13 GMT",2.308996668791264,593.636
read,"Thu, 11 Feb 2016 21:11:59 GMT",5.400174898164514,280.824
write,"Thu, 11 Feb 2016 21:24:14 GMT",1.8312858476589167,728.123
read,"Thu, 11 Feb 2016 21:27:55 GMT",7.458891021406551,212.265
write,"Thu, 11 Feb 2016 21:37:01 GMT",2.547888357901878,539.49
read,"Thu, 11 Feb 2016 21:39:25 GMT",11.713325151901085,139.859
write,"Thu, 11 Feb 2016 21:48:14 GMT",2.6293785726681356,523.049
read,"Thu, 11 Feb 2016 21:50:44 GMT",9.649744432549793,143.041
write,"Thu, 11 Feb 2016 22:00:50 GMT",2.2157951851878526,597.528
read,"Thu, 11 Feb 2016 22:04:12 GMT",7.765765109873442,187.859
write,"Thu, 11 Feb 2016 22:12:47 GMT",2.5277575425520333,509.49
read,"Thu, 11 Feb 2016 22:15:20 GMT",10.975043437164103,149.352
write,"Thu, 11 Feb 2016 22:24:43 GMT",2.468035850688767,556.33
read,"Thu, 11 Feb 2016 22:27:11 GMT",10.18716150237711,143.234
write,"Thu, 11 Feb 2016 22:36:30 GMT",2.381370301990498,553.912
read,"Thu, 11 Feb 2016 22:39:21 GMT",9.646422443366458,167.696
write,"Thu, 11 Feb 2016 22:48:47 GMT",2.3652931081074953,557.938
read,"Thu, 11 Feb 2016 22:52:36 GMT",7.408987534069766,205.846
write,"Thu, 11 Feb 2016 23:01:41 GMT",2.3619054179896004,538.538
read,"Thu, 11 Feb 2016 23:04:28 GMT",8.680291831411372,161.033
write,"Thu, 11 Feb 2016 23:12:49 GMT",2.6213643928606047,493.404
read,"Thu, 11 Feb 2016 23:15:20 GMT",12.815535846922696,141.711
write,"Thu, 11 Feb 2016 23:24:40 GMT",2.3474471145840288,553.231
read,"Thu, 11 Feb 2016 23:28:02 GMT",7.241163479976448,196.121
write,"Thu, 11 Feb 2016 23:36:50 GMT",2.5346265631715275,521.638
read,"Thu, 11 Feb 2016 23:39:31 GMT",11.77660660515516,154.51
write,"Thu, 11 Feb 2016 23:47:57 GMT",2.7084425879575194,499.823
read,"Thu, 11 Feb 2016 23:51:50 GMT",7.337390808542252,228.912
write,"Fri, 12 Feb 2016 00:00:47 GMT",2.5724767178798547,529.036
read,"Fri, 12 Feb 2016 00:03:53 GMT",9.496999343915629,178.956
write,"Fri, 12 Feb 2016 00:13:12 GMT",2.603527649789082,550.392
read,"Fri, 12 Feb 2016 00:16:49 GMT",7.902419605639627,208.759
write,"Fri, 12 Feb 2016 00:27:03 GMT",2.0753358141955305,607.696
read,"Fri, 12 Feb 2016 00:29:43 GMT",9.357155611837113,149.815
write,"Fri, 12 Feb 2016 00:37:55 GMT",2.905323848580816,486.891
read,"Fri, 12 Feb 2016 00:40:56 GMT",9.603520650670536,172.772
write,"Fri, 12 Feb 2016 00:49:28 GMT",2.681162071499331,505.816
read,"Fri, 12 Feb 2016 00:51:57 GMT",10.586230137585705,143.843
write,"Fri, 12 Feb 2016 01:00:23 GMT",3.031471409908933,499.685
read,"Fri, 12 Feb 2016 01:03:50 GMT",7.282670324590134,197.943
write,"Fri, 12 Feb 2016 01:11:19 GMT",3.448379908014466,443.038
read,"Fri, 12 Feb 2016 01:14:11 GMT",9.71949536380071,166.965
write,"Fri, 12 Feb 2016 01:22:12 GMT",2.7008305222657873,475.678
read,"Fri, 12 Feb 2016 01:26:09 GMT",6.537691630978362,231.332
write,"Fri, 12 Feb 2016 01:34:03 GMT",3.092420066095325,467.394
read,"Fri, 12 Feb 2016 01:38:54 GMT",5.014345729736167,285.649
write,"Fri, 12 Feb 2016 01:46:59 GMT",2.806514833044818,478.88
read,"Fri, 12 Feb 2016 01:49:54 GMT",10.278779780355325,169.6
write,"Fri, 12 Feb 2016 01:57:33 GMT",2.9756766332202678,453.248
read,"Fri, 12 Feb 2016 02:00:18 GMT",10.073849713273052,155.088
write,"Fri, 12 Feb 2016 02:07:47 GMT",3.4089158631982177,442.951
read,"Fri, 12 Feb 2016 02:10:01 GMT",12.108146941444245,128.709
write,"Fri, 12 Feb 2016 02:16:43 GMT",3.3655283514912937,396.503
read,"Fri, 12 Feb 2016 02:19:27 GMT",10.396545920893548,154.783
write,"Fri, 12 Feb 2016 02:27:25 GMT",3.0348505162249113,471.862
read,"Fri, 12 Feb 2016 02:31:02 GMT",7.714845178326235,213.832
write,"Fri, 12 Feb 2016 02:39:02 GMT",2.6469705587390893,474.509
read,"Fri, 12 Feb 2016 02:42:13 GMT",9.409261104447307,186.671
write,"Fri, 12 Feb 2016 02:50:26 GMT",2.7063988572230824,484.687
read,"Fri, 12 Feb 2016 02:53:16 GMT",9.00835975785529,155.817
write,"Fri, 12 Feb 2016 03:01:28 GMT",2.8693564093352117,487.0
read,"Fri, 12 Feb 2016 03:03:47 GMT",10.855180137191384,135.956
write,"Fri, 12 Feb 2016 03:11:11 GMT",2.9723307587375842,438.009
read,"Fri, 12 Feb 2016 03:14:02 GMT",9.612124734139643,167.056
write,"Fri, 12 Feb 2016 03:21:59 GMT",2.9335196607237837,471.113
read,"Fri, 12 Feb 2016 03:25:51 GMT",6.836196750299938,223.042
write,"Fri, 12 Feb 2016 03:33:42 GMT",3.0931237089027768,463.258
read,"Fri, 12 Feb 2016 03:37:02 GMT",8.205565835306087,189.653
write,"Fri, 12 Feb 2016 03:45:04 GMT",2.9941012462821686,476.159
read,"Fri, 12 Feb 2016 03:48:24 GMT",8.03158823653429,193.542
write,"Fri, 12 Feb 2016 03:57:15 GMT",2.479708365631965,524.763
read,"Fri, 12 Feb 2016 04:00:13 GMT",10.053360304264949,167.829
write,"Fri, 12 Feb 2016 04:08:38 GMT",2.6560971706588914,498.367
read,"Fri, 12 Feb 2016 04:13:33 GMT",6.014119649406895,267.751
write,"Fri, 12 Feb 2016 04:22:46 GMT",2.333002808400735,546.734
read,"Fri, 12 Feb 2016 04:25:35 GMT",9.43943891975061,163.632
write,"Fri, 12 Feb 2016 04:33:44 GMT",2.6027259324712997,483.084
read,"Fri, 12 Feb 2016 04:36:15 GMT",11.872454224268681,144.736
write,"Fri, 12 Feb 2016 04:44:51 GMT",2.9358318893729614,510.877
read,"Fri, 12 Feb 2016 04:47:17 GMT",11.190879805987446,140.653
write,"Fri, 12 Feb 2016 04:58:18 GMT",2.00091858837528,655.397
read,"Fri, 12 Feb 2016 05:03:16 GMT",5.333245631071844,279.307
write,"Fri, 12 Feb 2016 05:12:47 GMT",2.5894125502244885,563.074
read,"Fri, 12 Feb 2016 05:15:48 GMT",9.043376555649171,171.764
write,"Fri, 12 Feb 2016 05:24:24 GMT",2.47980329373673,510.699
read,"Fri, 12 Feb 2016 05:26:59 GMT",9.12286156798803,151.779
write,"Fri, 12 Feb 2016 05:35:40 GMT",2.8926820387406056,515.582
read,"Fri, 12 Feb 2016 05:39:15 GMT",8.305981275549545,206.208
write,"Fri, 12 Feb 2016 05:47:39 GMT",2.7198988650938665,497.669
read,"Fri, 12 Feb 2016 05:50:25 GMT",9.672368662331564,153.915
write,"Fri, 12 Feb 2016 05:58:17 GMT",2.8876687819843156,465.543
read,"Fri, 12 Feb 2016 06:00:57 GMT",11.317719752981334,153.825
write,"Fri, 12 Feb 2016 06:09:17 GMT",2.745862057386343,493.626
read,"Fri, 12 Feb 2016 06:13:17 GMT",6.2907044619180414,235.095
write,"Fri, 12 Feb 2016 06:21:42 GMT",2.499596939993426,499.548
read,"Fri, 12 Feb 2016 06:25:02 GMT",9.214717901010125,175.634
write,"Fri, 12 Feb 2016 06:33:11 GMT",2.6439099462239732,481.462
read,"Fri, 12 Feb 2016 06:35:34 GMT",11.01671419154761,137.958
write,"Fri, 12 Feb 2016 06:43:47 GMT",2.892523237205948,486.622
read,"Fri, 12 Feb 2016 06:46:07 GMT",13.345470297153579,137.063
